,Date,MSLP,Prcp,Tc,RH,WS
347,2021-12-14,1021.1,0.0,5.3,71.0,2.8
348,2021-12-15,1020.5,2.0,8.3,71.0,3.1
349,2021-12-16,1017.4,1.5,10.9,69.0,3.5
350,2021-12-17,1005.1,35.0,7.1,87.0,4.4
351,2021-12-18,1018.4,6.0,0.1,87.0,2.4
352,2021-12-19,1015.3,27.5,1.4,90.0,3.0
353,2021-12-20,1017.6,7.0,5.2,81.0,3.0
354,2021-12-21,1014.0,2.5,9.1,69.0,3.2
355,2021-12-22,1020.9,2.5,5.7,78.0,2.5
356,2021-12-23,1023.1,,4.7,74.0,2.0
357,2021-12-24,1017.3,,10.0,62.0,3.1
358,2021-12-25,1014.4,23.0,3.5,91.0,4.3
359,2021-12-26,1018.6,15.0,-1.6,93.0,2.0
360,2021-12-27,1019.7,18.5,-0.5,95.0,2.6
361,2021-12-28,1025.9,2.0,1.2,85.0,2.2
362,2021-12-29,1018.5,1.5,4.0,71.0,4.7
363,2021-12-30,1011.4,38.0,3.1,92.0,3.2
364,2021-12-31,1017.5,20.0,-0.9,92.0,2.5
365,2022-01-01,1026.8,6.5,-0.8,88.0,2.2
366,2022-01-02,1022.5,8.5,1.2,74.0,3.8
367,2022-01-03,1020.1,3.0,3.3,87.0,2.3
368,2022-01-04,1020.4,8.5,2.3,89.0,2.7
369,2022-01-05,1027.3,,0.7,83.0,2.1
370,2022-01-06,1023.0,0.5,2.0,71.0,2.3
371,2022-01-07,1027.1,0.0,2.0,82.0,2.4
372,2022-01-08,1022.7,0.0,4.5,61.0,3.4
373,2022-01-09,1019.9,6.0,5.2,82.0,2.6
374,2022-01-10,1019.6,0.5,4.7,82.0,2.2
375,2022-01-11,1006.0,26.0,4.2,88.0,3.2
376,2022-01-12,1011.8,11.0,0.4,90.0,2.7
377,2022-01-13,1007.1,35.5,0.4,96.0,2.8
378,2022-01-14,1016.5,16.5,0.2,93.0,2.2
379,2022-01-15,1022.4,0.0,1.6,87.0,2.3
380,2022-01-16,1018.4,10.5,2.9,78.0,3.5
381,2022-01-17,1016.7,18.0,2.0,94.0,2.6
382,2022-01-18,1019.5,11.5,-0.4,94.0,2.3
383,2022-01-19,1019.6,1.0,0.5,90.0,1.8
384,2022-01-20,1017.8,10.5,0.8,90.0,2.9
385,2022-01-21,1027.0,0.5,-0.7,87.0,2.4
386,2022-01-22,1028.0,0.0,0.9,72.0,2.5
387,2022-01-23,1021.5,0.0,1.6,77.0,2.2
388,2022-01-24,1019.6,2.5,3.3,82.0,2.4
389,2022-01-25,1020.6,0.0,3.4,70.0,1.8
390,2022-01-26,1018.6,2.0,4.9,79.0,2.6
391,2022-01-27,1021.4,1.0,3.6,78.0,2.1
392,2022-01-28,1019.1,3.5,1.4,88.0,1.8
393,2022-01-29,1014.8,7.5,2.2,91.0,1.9
394,2022-01-30,1017.4,11.5,1.4,91.0,2.1
395,2022-01-31,1019.9,0.0,2.3,76.0,2.2
396,2022-02-01,1018.3,5.5,2.9,80.0,3.3
397,2022-02-02,1021.3,5.5,2.6,88.0,2.7
398,2022-02-03,1019.5,15.5,3.1,88.0,2.8
399,2022-02-04,1015.8,5.5,2.2,90.0,2.8
400,2022-02-05,1014.0,18.5,-0.4,94.0,2.4
401,2022-02-06,1018.8,16.0,-0.5,95.0,2.0
402,2022-02-07,1024.7,0.5,0.9,81.0,2.2
403,2022-02-08,1024.4,13.5,2.0,83.0,1.9
404,2022-02-09,1025.0,0.0,3.1,79.0,2.2
405,2022-02-10,1020.0,9.5,1.1,93.0,1.5
406,2022-02-11,1023.2,0.5,2.8,86.0,1.7
407,2022-02-12,1024.4,0.0,3.8,67.0,2.7
408,2022-02-13,1022.5,0.0,4.3,74.0,3.4
409,2022-02-14,1019.0,0.0,4.7,66.0,5.1
410,2022-02-15,1012.3,12.0,3.9,82.0,3.4
411,2022-02-16,1011.2,29.0,0.9,93.0,3.7
412,2022-02-17,1015.2,20.5,-0.4,93.0,3.0
413,2022-02-18,1027.2,2.0,1.6,91.0,2.4
414,2022-02-19,1020.6,6.5,1.7,82.0,1.9
415,2022-02-20,1011.7,9.5,1.8,90.0,3.3
416,2022-02-21,1021.3,12.0,-0.6,92.0,2.2
417,2022-02-22,1022.2,19.5,0.0,92.0,2.0
418,2022-02-23,1025.9,8.5,-0.5,94.0,1.9
419,2022-02-24,1025.2,0.0,0.7,75.0,2.4
420,2022-02-25,1023.8,0.0,3.0,67.0,2.8
421,2022-02-26,1019.5,0.0,6.3,58.0,3.6
422,2022-02-27,1016.2,8.5,5.6,71.0,4.0
423,2022-02-28,1021.7,0.0,6.8,65.0,2.9
424,2022-03-01,1013.6,3.5,6.9,67.0,3.4
425,2022-03-02,1013.1,1.5,7.1,76.0,2.2
426,2022-03-03,1015.5,1.5,5.0,78.0,3.0
427,2022-03-04,1017.4,0.0,5.0,62.0,2.4
428,2022-03-05,1007.8,3.5,8.0,56.0,5.7
429,2022-03-06,1013.6,7.0,2.1,87.0,3.3
430,2022-03-07,1019.8,0.5,3.9,74.0,2.3
431,2022-03-08,1019.6,0.0,3.9,72.0,2.2
432,2022-03-09,1021.5,0.0,5.8,59.0,2.3
433,2022-03-10,1022.7,0.0,7.0,64.0,2.2
434,2022-03-11,1018.5,0.0,11.5,43.0,4.5
435,2022-03-12,1018.7,0.0,10.8,63.0,2.7
436,2022-03-13,1014.5,0.0,14.8,54.0,4.2
437,2022-03-14,1012.2,6.0,10.9,90.0,2.5
438,2022-03-15,1012.0,5.0,12.2,71.0,4.8
439,2022-03-16,1015.3,0.0,10.4,72.0,2.5
440,2022-03-17,1021.8,0.0,8.2,74.0,4.0
441,2022-03-18,1010.7,33.0,6.3,92.0,2.7
442,2022-03-19,1004.1,20.0,6.4,91.0,2.3
443,2022-03-20,1016.8,0.0,6.2,73.0,2.0
444,2022-03-21,1023.2,0.0,6.3,75.0,3.0
445,2022-03-22,1021.2,2.5,5.4,81.0,2.3
446,2022-03-23,1017.9,2.0,5.0,76.0,1.7
447,2022-03-24,1019.5,0.5,8.9,71.0,3.0
448,2022-03-25,1024.3,0.0,10.5,62.0,3.2
449,2022-03-26,1006.0,2.0,17.0,56.0,10.9
450,2022-03-27,1010.7,0.0,11.8,75.0,3.3
451,2022-03-28,1024.6,2.0,9.4,56.0,3.3
452,2022-03-29,1027.1,0.0,8.4,67.0,1.6
453,2022-03-30,1022.0,0.0,16.3,54.0,3.3
454,2022-03-31,1020.8,12.5,9.7,86.0,3.4
455,2022-04-01,1027.2,0.0,7.3,52.0,2.8
456,2022-04-02,1028.3,0.0,6.7,63.0,2.9
457,2022-04-03,1028.2,0.0,8.3,73.0,2.4
458,2022-04-04,1026.1,0.0,10.7,79.0,2.2
459,2022-04-05,1021.9,0.0,12.1,77.0,1.6
460,2022-04-06,1019.6,0.0,13.3,66.0,3.6
461,2022-04-07,1016.0,2.0,12.5,73.0,2.8
462,2022-04-08,1020.3,0.0,10.4,66.0,2.6
